GeoVector_ID,ZipCode,WKT
-1147458653,94109,"POLYGON ((-213680.48984182609 -21774.827828104608, -213474.7538154053 -23314.371281645261, -212313.47161314805 -23158.654183648527, -212091.94861601604 -22598.938508620486, -212332.92833844412 -21905.569504732266, -212831.55247589925 -19902.205083149485, -213258.06953546579 -19983.821163672954, -213351.64376116105 -20420.011565209366, -213857.58694744928 -20363.450850533321, -213842.12239047658 -20645.081231756136, -213790.86696012606 -20947.646406933665, -213210.9537666229 -20864.755645365454, -213099.49741993856 -21696.626095397398, -213680.48984182609 -21774.827828104608))"
-1147458652,95128,"POLYGON ((-172562.25880081169 -75279.043028367683, -172573.6844992417 -76152.8346904181, -172976.15559280053 -76147.21392641589, -172583.52565444948 -76854.988175986335, -172602.34635859961 -78355.262973617762, -172121.73446694453 -78454.416514491662, -172203.64869302779 -77695.679497182369, -171827.54477816404 -77526.828968079761, -171573.22076670825 -78507.0104531981, -171110.67682913665 -78516.121685462072, -170983.41271089474 -78201.9518176429, -169727.14020745989 -76728.250552849844, -169376.45468781202 -76726.2208655458, -169465.318134844 -76221.540073145181, -169990.31723107165 -75911.0536701046, -169976.07587949568 -74920.0208744891, -170290.84244450484 -74568.96348281391, -170949.69467100568 -74896.787112813443, -171317.67704757035 -74059.3937932076, -171005.41325054035 -73688.182106627151, -172526.28584005911 -73620.785802362487, -172553.28962810797 -74705.400188490748, -172555.10258381593 -74862.3565914873, -171722.5806596594 -74856.204826978967, -171717.66910327814 -75295.041649651714, -172562.25880081169 -75279.043028367683))"
-1147458651,94502,"POLYGON ((-198613.01989483697 -30444.222874421626, -197916.788032818 -29730.64311703667, -196821.08295174231 -30778.248053642921, -195939.08552508324 -29916.88031304162, -195841.82466279253 -27345.948692669161, -198258.84380646754 -27353.447632411495, -198017.61968003417 -26846.88931980636, -198566.35056020692 -26553.956119845621, -198787.45419681145 -26953.783728983253, -199674.99188160241 -28557.301930938847, -198613.01989483697 -30444.222874421626))"
-1147458650,94613,"POLYGON ((-192431.20718737302 -24297.498337871395, -192183.95294696724 -24544.497653018683, -191249.55980732111 -24042.028586230241, -191576.72001444889 -23650.11189978011, -192470.66704697022 -23560.133682459593, -192431.20718737302 -24297.498337871395))"
-1147458649,94602,"POLYGON ((-194736.19220705409 -20412.901229269803, -195134.84657356751 -20274.475438285619, -195967.72837394098 -21115.59937951155, -195873.54980645305 -21453.074026118033, -196483.17925043285 -21756.193393924274, -196359.08807635642 -22107.833805030212, -196031.22935552418 -21867.247176832519, -195513.7475130173 -22229.896641809493, -194329.39583709865 -23084.677399652079, -192556.54958876662 -21950.249424389564, -192478.69837221608 -21610.896882427856, -192278.80460077638 -21836.903041273355, -192294.82103986311 -21341.70943619404, -191863.90254666025 -21736.93621039018, -191766.2867296302 -21359.113986959681, -191507.39214991842 -21406.432098256424, -192004.81768393691 -20641.854133758694, -193257.97788000404 -19995.744347291067, -193503.1101017374 -20191.099336651154, -193768.44959387323 -19810.311066825874, -193302.86170202013 -20600.058469222859, -194057.27911611408 -19453.763638056815, -194736.19220705409 -20412.901229269803))"
-1147458648,94521,"POLYGON ((-175253.99415876874 -6375.3740538666025, -174655.16297162534 -6745.1144116213545, -173579.05074176579 -9489.2600928880274, -172737.09577219395 -8272.56009628158, -171826.2092869184 -7744.8066271627322, -172002.91967741586 -8104.5264710895717, -171270.22734722923 -8041.1395541997626, -171238.30002776312 -7436.9207945615053, -170772.54145718535 -7457.8350278679281, -170584.69150108608 -6602.9664117824286, -171216.21204395485 -6589.7709192587063, -171194.69619855587 -5761.8453332269564, -171752.76982916385 -5370.180979821831, -171327.42226215522 -4978.1113341450691, -170858.83840014687 -5491.4419679222628, -170109.75756947306 -5026.8982859048992, -167997.53391955909 -5126.9794724853709, -166303.3937349898 -5248.0849332651123, -165702.3738866442 -4927.624851597473, -165793.61607572186 -4313.9341660439968, -165234.79839356756 -4355.2983470140025, -166179.54801205127 -3249.4919007020071, -166555.04552017496 -2050.3667223528028, -167598.81924015662 -2920.0195618057624, -168002.88463993024 -4309.9622351722792, -168593.19696533892 -4519.6179724643007, -169316.97532210971 -4312.6679730406031, -168993.27875933179 -3684.6916043255478, -167859.15879507217 -2924.3307077651843, -167837.56960597556 -2319.8961735805497, -169460.37628371012 -2318.8930888501927, -169459.07144136709 -1949.2135231792927, -170300.81830686517 -1923.8985602827743, -170235.87048707786 -3662.9067006381229, -170965.6242190722 -4166.0833148760721, -172278.31459611643 -3054.9978611450642, -172819.90617452184 -3165.0691434117034, -173824.28344934591 -2601.9679880253971, -174073.97315453397 -2537.591015865095, -173997.77478605064 -2783.2502755336463, -175244.17633080747 -2431.5078847436234, -175099.96438457211 -2950.0292911054567, -175433.2518044358 -3291.9236311456189, -176274.49322999644 -3285.6982648270205, -176177.14670919671 -4216.4345016302541, -174825.50024855952 -5856.6755331587046, -175253.99415876874 -6375.3740538666025))"
-1147458647,94523,"POLYGON ((-179980.80044696532 -5655.6649076174945, -180372.48509163735 -3640.7041080594063, -180931.85305250424 -3741.3029971029609, -181005.17653326463 -3146.6033843224868, -180782.31456041898 -3139.9983936063945, -181184.82489491897 -1975.4967150809243, -182236.41788888615 -1783.8345087980852, -182264.78619752204 -2493.627645002678, -184252.30606908712 -2483.2939818473533, -184550.15886052567 -3101.710936347954, -183491.35560658135 -4619.1418138062581, -184410.02067199026 -4780.1816960070282, -183965.83197312706 -5650.5486142141744, -184155.16320698627 -6169.4162488598377, -183379.81993717529 -6372.0152691490948, -183281.31855220435 -8109.58830703143, -182007.08300534633 -8017.9139234758914, -181989.12249734651 -7232.9472989328206, -180377.04328163152 -7364.56898139976, -180225.1871769884 -7118.8987817810848, -180759.65958763511 -6677.3200549278408, -180310.15574966941 -6595.56270969566, -180183.79914923382 -6906.4159871758893, -180135.29715265255 -6486.9346709651873, -179980.80044696532 -5655.6649076174945))"
-1147458646,94132,"POLYGON ((-217341.08344151455 -31424.125097256154, -216623.08020466904 -31181.02214726992, -216711.53795032873 -29795.903484763578, -217600.00448101657 -29928.129060100764, -217495.83429717677 -28475.95913520176, -217806.89956276034 -28476.849878408015, -217815.14179416531 -28162.03713605646, -219105.3351140497 -28072.419991672039, -219237.57112592235 -28508.093718834221, -220585.86840076884 -28309.96408476308, -219919.53833216656 -31367.685394602828, -217367.22248621532 -31423.44420721475, -217341.08344151455 -31424.125097256154))"
-1147458645,94556,"POLYGON ((-189933.14870857802 -17417.282234827988, -189609.75085769637 -18669.485447515734, -189092.89824681132 -19116.562668741681, -188581.87707907814 -19664.43994302582, -188114.11385864575 -19361.99892682489, -187218.7250225422 -19486.244577907026, -186786.16690650702 -19900.368152046576, -186951.31683653808 -20543.707252765074, -185870.29876118706 -21167.672250612639, -185321.26597191332 -20721.3337858608, -185676.36873016463 -19781.953314832412, -181542.89899657373 -19735.267070956528, -182004.20137901159 -18867.124158600345, -181305.45547588178 -17951.894171779044, -181966.21216695305 -17659.281522153877, -182172.98424742426 -17852.909069493413, -182157.62275341534 -17190.643003785983, -182944.75348868882 -17173.059277567081, -182932.86650796607 -16691.851523880847, -183613.70121344837 -16667.085899769329, -183803.10134762435 -16244.040845142677, -184993.11197291277 -16205.574454831891, -185290.68881354472 -16725.798840974458, -184774.55969197556 -15597.189402625896, -185061.28017672998 -15590.823181190528, -185057.71587203958 -15034.930536714382, -185361.18848070508 -14850.270138103515, -185191.22900533883 -14020.426947387867, -185858.51270753838 -13732.91019708477, -186839.13768594124 -13874.864697692916, -187620.57898255749 -13481.787308453582, -187675.73865882045 -13866.836175113916, -188167.59266207827 -14047.769853883423, -188410.17817947152 -15141.784290621988, -188378.37906699307 -15993.37054536026, -187979.74876566825 -16392.783676838502, -188232.00990307974 -16664.963617829606, -188083.51836417412 -17045.158704149537, -188677.21808179084 -17747.608071766794, -189933.14870857802 -17417.282234827988), (-185814.99889980367 -17225.947498317808, -185776.02964785486 -17768.667737278156, -185381.7242319264 -17775.227835762314, -185059.13653818771 -17223.092753462493, -185290.84209810785 -16732.689485106617, -185814.99889980367 -17225.947498317808))"
-1147458644,94511,"POLYGON ((-142867.32426157928 452.90849479287863, -142129.19098964217 891.879352147691, -141834.97236286377 748.09739546105266, -140957.43107461373 1495.7706917840987, -141556.59925861927 2721.2919613169506, -142743.78761082454 3983.5128958700225, -143137.32815928321 4033.0886850366369, -143359.10355445364 4546.7974726883695, -144021.17745912704 4779.3913394585252, -144459.74651385198 4147.3685210347176, -144541.50607612747 4622.653527919203, -145430.71579403686 4716.6668618172407, -145570.47092020253 4109.49530363176, -146845.91298556948 4047.7734363293275, -146907.58575971291 3544.4225480835885, -146492.05421100947 3264.9083964275196, -146706.52154698412 3035.2061000876129, -145821.28951149739 2639.8212656090036, -144772.54633361771 1453.6139186071232, -142867.32426157928 452.90849479287863))"
