ZipCode,Explanation,GeoVector_,WKT
94011,,-1147458546,"MULTIPOLYGON (((-208342.615916237 -51321.7686722316,-210592.29970875 -47557.341030173,-210858.99386268 -47384.1514706332,-211494.509578518 -47686.0214666128,-212763.91558511 -45973.7826783704,-212422.944996899 -45394.1997715291,-212721.474933799 -44784.6734927092,-211948.931648519 -45643.2032431616,-210715.552800688 -44893.5358217489,-210727.10751697 -44463.2307085069,-209770.062201544 -43541.2130464977,-210171.953074145 -43593.4981934,-209355.871974976 -43208.991491532,-208401.532025294 -43865.1321840426,-208121.533546856 -44570.8914265661,-205815.779304323 -44622.9895097818,-205708.837035509 -45101.5550915431,-205533.715479563 -45659.9685942288,-206989.3426932 -46832.3412542045,-207460.970423559 -47072.7394533874,-207274.58091553 -47451.5491692713,-207711.663091504 -47659.9866816215,-207532.430314023 -48053.5248211911,-206129.52152657 -47338.3039086536,-205829.74732134 -47511.8212144179,-205716.639359519 -47619.6881828485,-205500.102620112 -48042.8987941267,-206466.710026249 -49348.8029071465,-206222.971841915 -49721.6626297683,-205770.998066248 -49211.9414182436,-205447.03922657 -49467.4353875555,-205800.069586094 -49962.9295381643,-205566.367437376 -50318.7307823515,-206101.818107411 -50632.2539735334,-206391.051460733 -50384.8205434531,-206613.831866076 -50627.8491943106,-206297.264819591 -50962.4771220619,-206631.633629847 -51319.8447474865,-207295.765131078 -50345.8756358624,-207506.987991837 -51196.4262363529,-208342.615916237 -51321.7686722316)))"
94011,,-1147458546,"MULTIPOLYGON (((-208342.615916237 -51321.7686722316,-210592.29970875 -47557.341030173,-210858.99386268 -47384.1514706332,-211494.509578518 -47686.0214666128,-212763.91558511 -45973.7826783704,-212422.944996899 -45394.1997715291,-212721.474933799 -44784.6734927092,-211948.931648519 -45643.2032431616,-210715.552800688 -44893.5358217489,-210727.10751697 -44463.2307085069,-209770.062201544 -43541.2130464977,-210171.953074145 -43593.4981934,-209355.871974976 -43208.991491532,-208401.532025294 -43865.1321840426,-208121.533546856 -44570.8914265661,-205815.779304323 -44622.9895097818,-205708.837035509 -45101.5550915431,-205533.715479563 -45659.9685942288,-206989.3426932 -46832.3412542045,-207460.970423559 -47072.7394533874,-207274.58091553 -47451.5491692713,-207711.663091504 -47659.9866816215,-207532.430314023 -48053.5248211911,-206129.52152657 -47338.3039086536,-205829.74732134 -47511.8212144179,-205716.639359519 -47619.6881828485,-205500.102620112 -48042.8987941267,-206466.710026249 -49348.8029071465,-206222.971841915 -49721.6626297683,-205770.998066248 -49211.9414182436,-205447.03922657 -49467.4353875555,-205800.069586094 -49962.9295381643,-205566.367437376 -50318.7307823515,-206101.818107411 -50632.2539735334,-206391.051460733 -50384.8205434531,-206613.831866076 -50627.8491943106,-206297.264819591 -50962.4771220619,-206631.633629847 -51319.8447474865,-207295.765131078 -50345.8756358624,-207506.987991837 -51196.4262363529,-208342.615916237 -51321.7686722316)))"
94017,,-1147458616,"MULTIPOLYGON (((-215880.515625 -38103.888671875,-216337.478515625 -37864.095703125,-217771.349609375 -37980.841796875,-217739.900390625 -37450.775390625,-218577.68359375 -36073.30859375,-218878.68359375 -35975.123046875,-219175.82421875 -36626.548828125,-219771.208984375 -36238.36328125,-220322.056640625 -31439.025390625,-219919.5390625 -31367.685546875,-217367.22265625 -31423.443359375,-217654.28125 -34204.517578125,-216672.708984375 -36065.916015625,-217006.126953125 -36637.962890625,-216532.134413454 -37304.0072336716,-216532.369140625 -37304.02734375,-216378.361328125 -37520.0859375,-216532.134413454 -37304.0072336716,-216158.65625 -37272.009765625,-215880.515625 -38103.888671875)))"
94018,,-1147458490,"MULTIPOLYGON (((-209059.084310615 -55230.7866791598,-208633.683146585 -56524.6395547874,-208265.425019399 -56588.0766171813,-208333.011861515 -57170.6325141191,-209531.244000281 -57281.2773115309,-210060.794881385 -56952.4204790639,-210009.208996301 -56561.7375597032,-210518.495089589 -56585.0824059751,-211577.018086105 -57900.7928756336,-212936.979543977 -58604.2312465152,-211368.712925653 -59056.0807039728,-210993.339131249 -59661.4664905313,-212304.797964354 -60778.3394552767,-212267.215727851 -61038.9430068666,-211229.961814706 -61745.2656538663,-210427.122780803 -61286.8777734097,-210040.627521334 -61977.3389625559,-209455.5697752 -61715.1079956442,-208028.70196509 -61882.8886364475,-205959.508111626 -62799.3691915721,-205041.759522013 -62548.6763132513,-204174.659424607 -63024.4311606036,-205040.300673464 -63308.7422614116,-205127.344034944 -63812.8898417065,-205455.063555631 -63366.075319089,-205921.460015127 -63754.2642138079,-206955.860270233 -63391.8433144689,-206390.691038193 -63807.2101161247,-206893.67298222 -63655.0269129472,-207611.67540599 -64000.3215478249,-207764.811306631 -65034.6642754674,-208467.77912082 -65487.3447856177,-209596.633191613 -67121.6984823262,-209955.356731488 -68498.6861590594,-212046.965316332 -70437.4753481159,-211935.938145316 -71911.6519181048,-211548.647174442 -73555.2555199135,-212121.302217618 -73845.2488512909,-212822.24470833 -75638.3410452111,-212246.957279211 -70630.9026726838,-212972.938923621 -69801.9667462362,-212997.417607008 -68523.2296947315,-214172.716745631 -66645.2606224529,-214541.922472116 -64686.0431703227,-214914.941991399 -64506.0126370499,-215854.789093235 -62072.5819732044,-216308.510121832 -57195.3865788309,-216995.203436064 -55645.9199590031,-218056.426684763 -54489.9658302544,-219355.64918023 -55205.6232513711,-220128.338567635 -55291.4198891483,-220439.548396618 -55004.8862665184,-220386.997268406 -54092.8484880282,-220042.608281163 -53939.2228221362,-221734.584405592 -52105.8406567536,-220842.106328598 -51793.2825503601,-219615.448717539 -50777.6002746113,-218240.991964736 -49522.0690680649,-217963.484926795 -48512.5790406717,-217449.762586227 -48467.7961296327,-216211.516848795 -48869.7664714297,-215828.551789793 -49894.2683572946,-214823.604163902 -50860.6880417923,-211946.245175024 -50936.4348620092,-211758.194710085 -50691.219310469,-210912.925561977 -50971.3415786996,-210946.186184077 -51558.6409101263,-209990.935330965 -52445.2549727429,-209059.084310615 -55230.7866791598)))"
94026,,-1147458553,"MULTIPOLYGON (((-192338.421875 -56622.1015625,-192286.69921875 -55386.0390625,-192305.239542792 -56248.8394060217,-192338.421875 -56622.1015625)),((-193929.46484375 -65264.3828125,-196977.0859375 -63502.3515625,-196632.06640625 -63596.30078125,-196001.29296875 -63091.69921875,-195322.43359375 -61958.2578125,-194531.29296875 -61948.5390625,-193221.9375 -60082.89453125,-193924.27734375 -59619.9921875,-193725.46484375 -59409.43359375,-193329.55078125 -59103.12890625,-193086.84765625 -59259.73046875,-193295.76953125 -59583.93359375,-192850.12109375 -59875.86328125,-192575.828125 -59490.328125,-192011.65625 -59700.43359375,-191444.08984375 -58368.7734375,-192991.0 -57773.61328125,-193371.109375 -58312.8046875,-194097.87890625 -58194.12890625,-194865.41796875 -58989.12890625,-195088.28125 -58778.78515625,-194400.3828125 -57708.53125,-193029.79296875 -57620.94140625,-192661.30078125 -56843.51171875,-193265.2265625 -56493.55859375,-192314.69140625 -56688.6953125,-192305.239542792 -56248.8394060217,-192229.80078125 -55400.2421875,-191661.34375 -55650.45703125,-191132.95703125 -55344.30859375,-190242.56640625 -55422.97265625,-190083.2109375 -56354.05859375,-189534.884209553 -56238.484694905,-189325.051670109 -56303.2118649817,-189132.790941673 -56490.8866396224,-189133.254048519 -56493.2674163647,-189918.4140625 -56677.3671875,-189954.5546875 -57187.921875,-189884.33203125 -56705.05078125,-189183.18359375 -56749.94921875,-189133.254048519 -56493.2674163647,-189130.9140625 -56492.71875,-189132.790941673 -56490.8866396224,-189109.234375 -56369.78515625,-189325.051670109 -56303.2118649817,-189416.84765625 -56213.60546875,-189534.884209553 -56238.484694905,-190072.4921875 -56072.6484375,-190110.26953125 -55387.5078125,-190684.125 -55098.0234375,-190078.5703125 -54956.2421875,-190108.65625 -55231.09375,-190016.66796875 -54940.63671875,-188609.078125 -54402.5078125,-187986.7734375 -54988.70703125,-187602.44140625 -56744.0546875,-188308.953125 -57498.9765625,-187800.8359375 -58067.91015625,-187332.18359375 -57873.0390625,-187808.3515625 -58091.8671875,-188363.0234375 -57476.07421875,-188180.640625 -57044.63671875,-188939.48828125 -57398.8125,-188930.2109375 -57946.6484375,-190180.85546875 -58066.87890625,-190447.5625 -58622.89453125,-189916.375 -59036.3671875,-189905.734375 -59498.171875,-189411.30859375 -59615.00390625,-189452.79296875 -59905.9453125,-191252.6484375 -60445.33984375,-191846.203125 -61121.26953125,-193536.80859375 -62784.515625,-193497.38671875 -63079.19921875,-193346.48828125 -64062.73828125,-193558.25 -64228.9765625,-193289.1328125 -64473.36328125,-193929.46484375 -65264.3828125)))"
94035,,-1147458393,"MULTIPOLYGON (((-181976.948106151 -61470.094439649,-182007.826469874 -63558.1253568102,-181359.968182693 -63241.8333904082,-181130.70978482 -63651.4128670646,-180360.845094917 -63574.5149054453,-179791.212004208 -63650.5836094785,-180089.771983494 -66483.0468025077,-180895.624922606 -66240.6416650824,-180860.154830936 -67088.0000443393,-181238.518281453 -67352.9054378252,-181090.619524253 -67547.3476965297,-180780.622333508 -67192.8994682515,-181047.365054068 -68083.1005446939,-181928.462261269 -67931.7051740903,-184858.846291528 -66420.5522645712,-186342.463907056 -65548.6449925406,-185885.750903146 -64988.2714049015,-185703.315642939 -65117.6291140439,-185769.163340799 -64734.1182939876,-185300.787334788 -63782.6928704437,-185687.531994683 -63324.9177190289,-185491.368592126 -62449.744643678,-184366.069008236 -62961.9400623599,-184234.404162478 -62605.6919790097,-185328.824010338 -62481.1407875167,-184657.917561534 -61991.821381906,-184286.008227546 -60902.4502646783,-183754.076320827 -60726.1167656733,-183523.869698224 -61148.3523627305,-182716.267916424 -60888.0373200634,-182348.697613189 -61461.1182686053,-181976.948106151 -61470.094439649)))"
94039,,-1147458393,"MULTIPOLYGON (((-181976.948106151 -61470.094439649,-182007.826469874 -63558.1253568102,-181359.968182693 -63241.8333904082,-181130.70978482 -63651.4128670646,-180360.845094917 -63574.5149054453,-179791.212004208 -63650.5836094785,-180089.771983494 -66483.0468025077,-180895.624922606 -66240.6416650824,-180860.154830936 -67088.0000443393,-181238.518281453 -67352.9054378252,-181090.619524253 -67547.3476965297,-180780.622333508 -67192.8994682515,-181047.365054068 -68083.1005446939,-181928.462261269 -67931.7051740903,-184858.846291528 -66420.5522645712,-186342.463907056 -65548.6449925406,-185885.750903146 -64988.2714049015,-185703.315642939 -65117.6291140439,-185769.163340799 -64734.1182939876,-185300.787334788 -63782.6928704437,-185687.531994683 -63324.9177190289,-185491.368592126 -62449.744643678,-184366.069008236 -62961.9400623599,-184234.404162478 -62605.6919790097,-185328.824010338 -62481.1407875167,-184657.917561534 -61991.821381906,-184286.008227546 -60902.4502646783,-183754.076320827 -60726.1167656733,-183523.869698224 -61148.3523627305,-182716.267916424 -60888.0373200634,-182348.697613189 -61461.1182686053,-181976.948106151 -61470.094439649)))"
94042,,-1147458452,"MULTIPOLYGON (((-184858.846291528 -66420.5522645712,-181928.462261269 -67931.7051740903,-181712.63182537 -68052.0242344486,-181974.025082415 -68612.7494146172,-182333.169080555 -68607.3901845384,-182064.993940044 -68761.5460746102,-182364.814023235 -69167.5391902449,-182829.462142109 -68937.2624235842,-182879.042739253 -68242.3599818414,-183269.973078185 -68696.3681770843,-184994.255283646 -67595.7339204531,-185319.93925334 -67234.842386608,-185063.899130911 -67205.3646682166,-184858.846291528 -66420.5522645712)))"
94059,Not a valid zip according to USPS zip lookup tool,,
94064,,-1147458444,"MULTIPOLYGON (((-195333.321026276 -58542.5643950934,-195825.786391818 -58071.936468591,-195581.731133196 -57861.3689887663,-195835.548665648 -57666.0701302374,-195933.957322997 -58096.4255107585,-196869.568009137 -57078.6113304859,-198128.175438168 -55716.5676789517,-197576.57744668 -55276.1539069489,-198236.85800974 -54503.6285664141,-197747.270965667 -55073.8602541024,-197589.03747068 -54102.3018018119,-196342.961422813 -54971.1597545231,-193643.555697146 -51497.9676333657,-193846.556680105 -52460.8818613179,-194424.721176855 -52704.8800465148,-192305.012129395 -54499.8457702128,-192286.700037606 -55386.0372202694,-192314.690177108 -56688.696212953,-193265.22684946 -56493.5602032328,-192661.302134796 -56843.5121663455,-193029.793404484 -57620.9396845903,-194400.384098325 -57708.5312960092,-195088.281436546 -58778.7842695452,-195333.321026276 -58542.5643950934)))"
